Nr Code,Variable Name,Is TT,Match (Yes/No/Maybe),Matching Text,LLM_Reason
NR25,Piedziņa,Y,,,
NR26,4X4 pilna laika (4WD / AWD),N,No,,No equivalent 4X4 feature found (Confidence: 100% - 3/3 votes)
NR27,Ārējais Izskats -  Izskats/Stils,Y,,,
NR28,Krāsa – metāliska kā standarta,N,No,,No equivalent color feature found (Confidence: 100% - 3/3 votes)
NR29,Ārējais Izskats -  Funkcionalitāte,Y,,,
NR30,Durvju spoguļi - elektriski/sildāmi,N,Yes,Elektriski regulējami sānu spoguļi ar pagrieziena rādītāju,Matches electric adjustment and heating (Confidence: 100% - 3/3 votes)
NR31,Durvju spoguļi - elektriski/sildāmi/salokāmi,N,Yes,Apsildāmi un automātiski pielokāmi sānu spoguļi,"Matches electric, heated, and folding mirrors (Confidence: 100% - 3/3 votes)"
NR32,Durvju spoguļi - elektriski/sildāmi/salokāmi ar atmiņu,N,No,,No equivalent mirror with memory feature found (Confidence: 100% - 3/3 votes)
NR33,Priekšējie Vējstikla Tīrītāji -  Automātiski,N,Yes,Automātiski stikla tīrītāji un lietus sensors,Matches automatic wipers (Confidence: 100% - 3/3 votes)
NR34,Stikls - Tonēts ar privātuma aizsardzību aizmugurē,N,No,,No equivalent tinted glass feature found (Confidence: 100% - 3/3 votes)
NR35,Apsildāms vējstikls,N,No,,No equivalent heated windshield feature found (Confidence: 100% - 3/3 votes)
NR36,Bagāžnieka durvis - Elektriski atveramas,N,No,,No equivalent electric trunk feature found (Confidence: 100% - 3/3 votes)
NR37,Bagāžnieka durvis - Elektriski atveramas ar bezroku vadību,N,No,,No equivalent hands-free trunk feature found (Confidence: 100% - 3/3 votes)
NR38,Jumta sliedes,N,No,,No equivalent roof rails feature found (Confidence: 100% - 3/3 votes)
NR39,Priekšējais bagāžnieks,N,No,,No equivalent front trunk feature found (Confidence: 100% - 3/3 votes)
NR40,Panorāmas jumts,N,No,,No equivalent panoramic roof feature found (Confidence: 100% - 3/3 votes)
NR41,Ārējais Izskats -  Apgaismojums,Y,,,
NR42,Dienas gaitas lukturi - LED,N,Yes,LED dienas apgaismojuma lukturi,Matches LED daytime running lights (Confidence: 100% - 3/3 votes)
NR43,Priekšējie miglas lukturi - LED,N,No,,No equivalent front fog lights feature found (Confidence: 100% - 3/3 votes)
NR44,Priekšējie miglas lukturi – LED integrēti,N,No,,No equivalent integrated fog lights feature found (Confidence: 100% - 3/3 votes)
NR45,Priekšējo lukturu vadība – automātiska ieslēgšana/izslēgšana,N,Yes,Inteliģentie automātiskie priekšējie lukturi,Matches automatic headlight control (Confidence: 100% - 3/3 votes)
NR46,Priekšējo lukturu vadība – automātiska ieslēgšana/izslēgšana un tālās/tuvās gaismas,N,No,,No equivalent adaptive headlight feature found (Confidence: 100% - 3/3 votes)
NR47,Priekšējie lukturi – LED,N,Yes,LED priekšējie lukturi,Matches LED front headlights (Confidence: 100% - 3/3 votes)
NR48,Priekšējie lukturi – adaptīvie LED bez Matrix vai Glare Free,N,No,,No equivalent adaptive LED headlight feature found (Confidence: 100% - 3/3 votes)
NR49,Priekšējie lukturi – adaptīvie LED ar Matrix vai Glare Free,N,No,,No equivalent matrix LED headlight feature found (Confidence: 100% - 3/3 votes)
NR50,Interjers – Komforts/Ērtības,Y,,,
NR51,Gaisa kondicionētājs – EATC 1 zona,N,Yes,Automātiskā gaisa kondicionēšanas sistēma,Matches single-zone automatic air conditioning (Confidence: 100% - 3/3 votes)
NR52,Gaisa kondicionētājs – EATC 2 zonas,N,No,,No equivalent dual-zone air conditioning feature found (Confidence: 100% - 3/3 votes)
NR53,Gaisa kondicionētājs – EATC 3 zonas,N,No,,No equivalent tri-zone air conditioning feature found (Confidence: 100% - 3/3 votes)
NR54,Salona gaisa attīrītājs,N,No,,No equivalent air purifier feature found (Confidence: 100% - 3/3 votes)
NR55,Centrālā konsole ar roku balstu,N,Yes,Priekšējais elkoņbalsts,Matches central console with armrest (Confidence: 100% - 3/3 votes)
NR56,Apgaismojums – salons ar daudzkrāsu LED,N,No,,No equivalent multi-color LED interior lighting feature found (Confidence: 100% - 3/3 votes)
NR57,Automātiski tumšojams salona spogulis,N,No,,No equivalent auto-dimming mirror feature found (Confidence: 100% - 3/3 votes)
NR58,Elektrības pieslēgums – aizmugurē,N,Yes,USB pieslēgvieta aizmugurē,Matches rear power connection (Confidence: 100% - 3/3 votes)
NR59,Bezvadu uzlāde,N,No,,No equivalent wireless charging feature found (Confidence: 100% - 3/3 votes)
NR60,Interjers – In Car Entertainment/Komunikācijas,Y,,,
NR61,Zīmola skaņas sistēma ar vairāk nekā 6 skaļruņiem,N,No,,No equivalent branded sound system feature found (Confidence: 100% - 3/3 votes)
NR62,"Daudzfunkcionāls skārienjūtīgais ekrāns - 6 - 8""",N,Yes,"7"" krāsains modernais autovadītāja braukšanas palīgsistēmu (ADAD) displejs mērinstrumentu panelī",Matches multifunctional touchscreen (Confidence: 67% - 2/3 votes)
NR63,"Daudzfunkcionāls skārienjūtīgais ekrāns - 8 - 10""",N,No,,"No equivalent 8-10"" touchscreen feature found (Confidence: 100% - 3/3 votes)"
NR64,"Daudzfunkcionāls skārienjūtīgais ekrāns - 10 - 12""",N,No,,"No equivalent 10-12"" touchscreen feature found (Confidence: 100% - 3/3 votes)"
NR65,"Daudzfunkcionāls skārienjūtīgais ekrāns - 12 - """,N,Yes,"12,3"" skārienekrāns",Matches multifunctional touchscreen (Confidence: 67% - 2/3 votes)
NR66,Navigācijas centrs,N,No,,No equivalent navigation center feature found (Confidence: 100% - 3/3 votes)
NR67,Navigācijas centrs - savienots,N,No,,No equivalent connected navigation center feature found (Confidence: 100% - 3/3 votes)
NR68,Android Auto un Apple CarPlay,N,No,,No equivalent wired Android Auto and Apple CarPlay feature found (Confidence: 100% - 3/3 votes)
NR69,Android Auto un Apple CarPlay - bezvadu,N,Yes,Bezvadu Apple CarPlay® un Bezvadu Android Auto™,Matches wireless Android Auto and Apple CarPlay (Confidence: 100% - 3/3 votes)
