Nr Code,Variable Name,Is TT,Match (Yes/No/Maybe),Matching Text,LLM_Reason
NR25,Piedziņa,Y,,,
NR26,4X4 pilna laika (4WD / AWD),N,No,,not mentioned
NR27,Ārējais Izskats -  Izskats/Stils,Y,,,
NR28,Krāsa – metāliska kā standarta,N,No,,not mentioned
NR29,Ārējais Izskats -  Funkcionalitāte,Y,,,
NR30,Durvju spoguļi - elektriski/sildāmi,N,No,,No equivalent feature found for standard side mirrors.
NR31,Durvju spoguļi - elektriski/sildāmi/salokāmi,N,No,,No equivalent feature found for standard side mirrors.
NR32,Durvju spoguļi - elektriski/sildāmi/salokāmi ar atmiņu,N,No,,No equivalent feature found for mirrors with memory function.
NR33,Priekšējie Vējstikla Tīrītāji -  Automātiski,N,Yes,Automātiski stikla tīrītāji un lietus sensors,Feature describes automatic windshield wipers with rain sensor.
NR34,Stikls - Tonēts ar privātuma aizsardzību aizmugurē,N,No,,No equivalent feature found for tinted glass.
NR35,Apsildāms vējstikls,N,No,,No equivalent feature found for heated windscreen.
NR36,Bagāžnieka durvis - Elektriski atveramas,N,No,,No equivalent feature found for electrically opening tailgate.
NR37,Bagāžnieka durvis - Elektriski atveramas ar bezroku vadību,N,No,,No equivalent feature found for hands-free tailgate operation.
NR38,Jumta sliedes,N,No,,No equivalent feature found for roof rails.
NR39,Priekšējais bagāžnieks,N,No,,No equivalent feature found for front trunk.
NR40,Panorāmas jumts,N,No,,No equivalent feature found for panoramic roof.
NR41,Ārējais Izskats -  Apgaismojums,Y,,,
NR42,Dienas gaitas lukturi - LED,N,Yes,LED dienas apgaismojuma lukturi,Feature describes LED daytime running lights.
NR43,Priekšējie miglas lukturi - LED,N,No,,No equivalent feature found for front fog lights.
NR44,Priekšējie miglas lukturi – LED integrēti,N,No,,No equivalent feature found for integrated front fog lights.
NR45,Priekšējo lukturu vadība – automātiska ieslēgšana/izslēgšana,N,No,,No equivalent feature found for automatic headlight control.
NR46,Priekšējo lukturu vadība – automātiska ieslēgšana/izslēgšana un tālās/tuvās gaismas,N,No,,No equivalent feature found for automatic headlight control with high/low beam.
NR47,Priekšējie lukturi – LED,N,Yes,LED priekšējie luktņi,Feature describes LED front headlights.
