Nr Code,Variable Name,Is TT,LV Match,EN Match,Final Match,Include,LV Text,EN Text,Consensus Reasoning,Accepted
NR25,Piedziņa,Y,,,,☐,,,,
NR26,4X4 pilna laika (4WD / AWD),N,No,,No,☐,,No (0Y/0M/3N),,
NR27,Ārējais Izskats -  Izskats/Stils,Y,,,,☐,,,,
NR28,Krāsa – metāliska kā standarta,N,No,,No,☐,,No (0Y/0M/3N),,
NR29,Ārējais Izskats -  Funkcionalitāte,Y,,,,☐,,,,
NR30,Durvju spoguļi - elektriski/sildāmi,N,No,,Maybe,☑,"Automātiski pielokāmi, apsildāmi sānu spoguļi",Yes (3Y/0M/0N),"Automātiski pielokāmi, apsildāmi sānu spoguļi",
NR31,Durvju spoguļi - elektriski/sildāmi/salokāmi,N,Yes,"Automātiski pielokāmi, apsildāmi sānu spoguļi",Yes,☑,"Automātiski pielokāmi, apsildāmi sānu spoguļi",Yes (3Y/0M/0N),"Automātiski pielokāmi, apsildāmi sānu spoguļi",
NR32,Durvju spoguļi - elektriski/sildāmi/salokāmi ar atmiņu,N,No,,No,☐,,No (0Y/0M/3N),,
NR33,Priekšējie Vējstikla Tīrītāji -  Automātiski,N,Yes,Vējstikla tīrītāji ar lietus sensoru,Yes,☑,Vējstikla tīrītāji ar lietus sensoru,Yes (3Y/0M/0N),Vējstikla tīrītāji ar lietus sensoru,
NR34,Stikls - Tonēts ar privātuma aizsardzību aizmugurē,N,Yes,Tonēti aizmugurējo logu stikli,Yes,☑,Tonēti aizmugurējo logu stikli,Yes (3Y/0M/0N),Tonēti aizmugurējo logu stikli,
NR35,Apsildāms vējstikls,N,Yes,Apsildāms vējstikls,Yes,☑,Apsildāms vējstikls,Yes (3Y/0M/0N),Apsildāms vējstikls,
NR36,Bagāžnieka durvis - Elektriski atveramas,N,No,,Maybe,☑,"Elektriski, ar brīvroku funkciju vadāmas bagāžas nodalījuma durvis",Yes (3Y/0M/0N),"Elektriski, ar brīvroku funkciju vadāmas bagāžas nodalījuma durvis",
NR37,Bagāžnieka durvis - Elektriski atveramas ar bezroku vadību,N,Yes,"Elektriski, ar brīvroku funkciju vadāmas bagāžas nodalījuma durvis",Yes,☑,"Elektriski, ar brīvroku funkciju vadāmas bagāžas nodalījuma durvis",Yes (3Y/0M/0N),"Elektriski, ar brīvroku funkciju vadāmas bagāžas nodalījuma durvis",
NR38,Jumta sliedes,N,No,,No,☐,,No (0Y/0M/3N),,
NR39,Priekšējais bagāžnieks,N,No,,No,☐,,No (0Y/0M/3N),,
NR40,Panorāmas jumts,N,No,,No,☐,,No (0Y/0M/3N),,
NR41,Ārējais Izskats -  Apgaismojums,Y,,,,☐,,,,
NR42,Dienas gaitas lukturi - LED,N,Yes,LED dienas gaitas lukturi,Yes,☑,LED dienas gaitas lukturi,Yes (3Y/0M/0N),LED dienas gaitas lukturi,
NR43,Priekšējie miglas lukturi - LED,N,Yes,LED priekšējie miglas lukturi,Yes,☑,LED priekšējie miglas lukturi,Yes (3Y/0M/0N),LED priekšējie miglas lukturi,
NR44,Priekšējie miglas lukturi – LED integrēti,N,No,,No,☐,,No (0Y/0M/3N),,
NR45,Priekšējo lukturu vadība – automātiska ieslēgšana/izslēgšana,N,Yes,Automātiski LED priekšējie lukturi,Yes,☑,Automātiskās tuvās / tālās gaismas,Maybe (2Y/1M/0N),Automātiski LED priekšējie lukturi,
NR46,Priekšējo lukturu vadība – automātiska ieslēgšana/izslēgšana un tālās/tuvās gaismas,N,Yes,Automātiskās tuvās / tālās gaismas,Yes,☑,Automātiskās tuvās / tālās gaismas,Yes (3Y/0M/0N),Automātiskās tuvās / tālās gaismas,
NR47,Priekšējie lukturi – LED,N,Yes,Automātiski LED priekšējie lukturi,Yes,☑,Automātiski LED priekšējie lukturi,Yes (3Y/0M/0N),Automātiski LED priekšējie lukturi,
NR48,Priekšējie lukturi – adaptīvie LED bez Matrix vai Glare Free,N,No,,No,☐,,No (0Y/0M/3N),,
NR49,Priekšējie lukturi – adaptīvie LED ar Matrix vai Glare Free,N,No,,No,☐,,No (0Y/0M/3N),,
NR50,Interjers – Komforts/Ērtības,Y,,,,☐,,,,
NR51,Gaisa kondicionētājs – EATC 1 zona,N,No,,No,☐,,No (0Y/0M/3N),,
NR52,Gaisa kondicionētājs – EATC 2 zonas,N,Yes,Divu zonu automātiskā klimata kontrole,Yes,☑,Divu zonu automātiskā klimata kontrole,Yes (3Y/0M/0N),Divu zonu automātiskā klimata kontrole,
NR53,Gaisa kondicionētājs – EATC 3 zonas,N,No,,No,☐,,No (0Y/0M/3N),,
NR54,Salona gaisa attīrītājs,N,Yes,Plazmas klastera jonu gaisa attīrītājs,Yes,☑,Plazmas klastera jonu gaisa attīrītājs,Yes (3Y/0M/0N),Plazmas klastera jonu gaisa attīrītājs,
