Nr Code,Variable Name,Is TT,Intelligent Match,Consensus Match,Final Match,Intelligent Text,Consensus Text,Final Text,Language Used,Intelligent Reason,Consensus Reason,Combined Reason
NR25,Piedziņa,Y,,,,,,,,,,
NR26,4X4 pilna laika (4WD / AWD),N,No,No,No,,N/A,N/A,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR27,Ārējais Izskats -  Izskats/Stils,Y,,,,,,,,,,
NR28,Krāsa – metāliska kā standarta,N,No,No,No,,N/A,N/A,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR29,Ārējais Izskats -  Funkcionalitāte,Y,,,,,,,,,,
NR30,Durvju spoguļi - elektriski/sildāmi,N,Yes,Yes,Yes,"Electrically adjustable, heated side mirrors","""Elektriski regulējami, nolokāmi, apsildāmi sānu atpakaļskata spoguļi""","Electrically adjustable, heated side mirrors",LV,LV: Latvian term matches the feature description,"Consensus: 3Y/0M/0N - Clearly mentions electrically adjustable, heated door mirrors.",Combined: I:Yes/C:Yes = Yes (LV)
NR31,Durvju spoguļi - elektriski/sildāmi/salokāmi,N,Yes,Yes,Yes,"Electrically adjustable, foldable, heated side mirrors","""Elektriski regulējami, nolokāmi, apsildāmi sānu atpakaļskata spoguļi""","Electrically adjustable, foldable, heated side mirrors",LV,LV: Latvian term matches the feature description,"Consensus: 3Y/0M/0N - Clearly mentions electrically adjustable, heated, and foldable door mirrors.",Combined: I:Yes/C:Yes = Yes (LV)
NR32,Durvju spoguļi - elektriski/sildāmi/salokāmi ar atmiņu,N,No,No,No,,N/A,N/A,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR33,Priekšējie Vējstikla Tīrītāji -  Automātiski,N,No,No,No,,N/A,N/A,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR34,Stikls - Tonēts ar privātuma aizsardzību aizmugurē,N,No,No,No,,N/A,N/A,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR35,Apsildāms vējstikls,N,No,No,No,,N/A,N/A,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR36,Bagāžnieka durvis - Elektriski atveramas,N,No,No,No,,N/A,N/A,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
