Nr Code,Variable Name,Is TT,Match (Yes/No/Maybe),Include,Matching Text,LLM_Reason,Accepted
NR25,— PIEDZIŅA —,Y,,,,,
NR26,4X4 pilna laika (4WD / AWD),N,,N,☐,,
NR27,— ĀRĒJAIS IZSKATS -  IZSKATS/STILS —,Y,,,,,
NR28,Krāsa – metāliska kā standarta,N,,N,☐,,
NR29,— ĀRĒJAIS IZSKATS -  FUNKCIONALITĀTE —,Y,,,,,
NR30,Durvju spoguļi - elektriski/sildāmi,N,"Automātiski pielokāmi, apsildāmi sānu spoguļi",N,☑,"Automātiski pielokāmi, apsildāmi sānu spoguļi",
NR31,Durvju spoguļi - elektriski/sildāmi/salokāmi,N,"Automātiski pielokāmi, apsildāmi sānu spoguļi",N,"Automātiski pielokāmi, apsildāmi sānu spoguļi","Automātiski pielokāmi, apsildāmi sānu spoguļi",
NR32,Durvju spoguļi - elektriski/sildāmi/salokāmi ar atmiņu,N,,N,☐,,
NR33,Priekšējie Vējstikla Tīrītāji -  Automātiski,N,Vējstikla tīrītāji ar lietus sensoru,N,Vējstikla tīrītāji ar lietus sensoru,Vējstikla tīrītāji ar lietus sensoru,
NR34,Stikls - Tonēts ar privātuma aizsardzību aizmugurē,N,Tonēti aizmugurējo logu stikli,N,Tonēti aizmugurējo logu stikli,Tonēti aizmugurējo logu stikli,
NR35,Apsildāms vējstikls,N,Apsildāms vējstikls,N,Apsildāms vējstikls,Apsildāms vējstikls,
NR36,Bagāžnieka durvis - Elektriski atveramas,N,"Elektriski, ar brīvroku funkciju vadāmas bagāžas nodalījuma durvis",N,☑,"Elektriski, ar brīvroku funkciju vadāmas bagāžas nodalījuma durvis",
NR37,Bagāžnieka durvis - Elektriski atveramas ar bezroku vadību,N,"Elektriski, ar brīvroku funkciju vadāmas bagāžas nodalījuma durvis",N,"Elektriski, ar brīvroku funkciju vadāmas bagāžas nodalījuma durvis","Elektriski, ar brīvroku funkciju vadāmas bagāžas nodalījuma durvis",
NR38,Jumta sliedes,N,,N,☐,,
NR39,Priekšējais bagāžnieks,N,,N,☐,,
NR40,Panorāmas jumts,N,,N,☐,,
NR41,— ĀRĒJAIS IZSKATS -  APGAISMOJUMS —,Y,,,,,
NR42,Dienas gaitas lukturi - LED,N,LED dienas gaitas lukturi,N,LED dienas gaitas lukturi,LED dienas gaitas lukturi,
NR43,Priekšējie miglas lukturi - LED,N,LED priekšējie miglas lukturi,N,LED priekšējie miglas lukturi,LED priekšējie miglas lukturi,
NR44,Priekšējie miglas lukturi – LED integrēti,N,,N,☐,,
NR45,Priekšējo lukturu vadība – automātiska ieslēgšana/izslēgšana,N,Automātiskās tuvās / tālās gaismas,N,Automātiski LED priekšējie lukturi,Automātiski LED priekšējie lukturi,
NR46,Priekšējo lukturu vadība – automātiska ieslēgšana/izslēgšana un tālās/tuvās gaismas,N,Automātiskās tuvās / tālās gaismas,N,Automātiskās tuvās / tālās gaismas,Automātiskās tuvās / tālās gaismas,
NR47,Priekšējie lukturi – LED,N,Automātiski LED priekšējie lukturi,N,Automātiski LED priekšējie lukturi,Automātiski LED priekšējie lukturi,
NR48,Priekšējie lukturi – adaptīvie LED bez Matrix vai Glare Free,N,,N,☐,,
NR49,Priekšējie lukturi – adaptīvie LED ar Matrix vai Glare Free,N,,N,☐,,
NR50,— INTERJERS – KOMFORTS/ĒRTĪBAS —,Y,,,,,
NR51,Gaisa kondicionētājs – EATC 1 zona,N,,N,☐,,
NR52,Gaisa kondicionētājs – EATC 2 zonas,N,Divu zonu automātiskā klimata kontrole,N,Divu zonu automātiskā klimata kontrole,Divu zonu automātiskā klimata kontrole,
NR53,Gaisa kondicionētājs – EATC 3 zonas,N,,N,☐,,
NR54,Salona gaisa attīrītājs,N,Plazmas klastera jonu gaisa attīrītājs,N,Plazmas klastera jonu gaisa attīrītājs,Plazmas klastera jonu gaisa attīrītājs,
NR55,Centrālā konsole ar roku balstu,N,Kabatas priekšējo sēdekļu aizmugurē un elkoņbalsts aizmugurē,N,☑,Centrālā console,
NR56,Apgaismojums – salons ar daudzkrāsu LED,N,Noskaņu radošs LED apgaismojums,N,Noskaņu radošs LED apgaismojums,Noskaņu radošs LED apgaismojums,
NR57,Automātiski tumšojams salona spogulis,N,Automātiski aptumšojošs automobiļa salona atpakaļskata spogulis bez rāmja,N,Automātiski aptumšojošs automobiļa salona atpakaļskata spogulis bez rāmja,Automātiski aptumšojošs automobiļa salona atpakaļskata spogulis bez rāmja,
NR58,Elektrības pieslēgums – aizmugurē,N,,N,"USB pieslēgvietas priekšā un aizmugurē (""A"" un ""C"" tipa)","USB pieslēgvietas priekšā un aizmugurē (""A"" un ""C"" tipa)",
NR59,Bezvadu uzlāde,N,Bezvadu viedtālruņa lādētājs,N,Bezvadu viedtālruņa lādētājs,Bezvadu viedtālruņa lādētājs,
NR60,— INTERJERS – IN CAR ENTERTAINMENT/KOMUNIKĀCIJAS —,Y,,,,,
NR61,Zīmola skaņas sistēma ar vairāk nekā 6 skaļruņiem,N,,N,☐,,
NR62,"Daudzfunkcionāls skārienjūtīgais ekrāns - 6 - 8""",N,,N,☐,,
NR63,"Daudzfunkcionāls skārienjūtīgais ekrāns - 8 - 10""",N,,N,☐,,
NR64,"Daudzfunkcionāls skārienjūtīgais ekrāns - 10 - 12""",N,,N,☐,,
NR65,"Daudzfunkcionāls skārienjūtīgais ekrāns - 12 - """,N,"Divi 12,3"" TFT ekrāni ar braukšanas rādījumu un navigācijas informācijas attēlošanu",N,"Divi 12,3"" TFT ekrāni ar braukšanas rādījumu un navigācijas informācijas attēlošanu","Divi 12,3"" TFT ekrāni",
NR66,Navigācijas centrs,N,,N,"Divi 12,3"" TFT ekrāni ar braukšanas rādījumu un navigācijas informācijas attēlošanu","Divi 12,3"" TFT ekrāni ar braukšanas rādījumu un navigācijas informācijas attēlošanu",
NR67,Navigācijas centrs - savienots,N,,N,☐,"Divi 12,3"" TFT ekrāni ar braukšanas rādījumu un navigācijas informācijas attēlošanu",
NR68,Android Auto un Apple CarPlay,N,Bezvadu Apple Car Play un ar vadu savienojams Android Auto,N,Bezvadu Apple Car Play un ar vadu savienojams Android Auto,Bezvadu Apple Car Play un ar vadu savienojams Android Auto,
NR69,Android Auto un Apple CarPlay - bezvadu,N,Bezvadu Apple Car Play un ar vadu savienojams Android Auto,N,Bezvadu Apple Car Play un ar vadu savienojams Android Auto,Bezvadu Apple Car Play un ar vadu savienojams Android Auto,
NR70,Vieds palīgs ar AI,N,,N,☐,,
NR71,Head - Up displejs,N,,N,☐,,
NR72,— INTERJERS -  INSTRUMENTI/VADĪBAS ELEMENTI —,Y,,,,,
NR73,Apsildāms stūres rats,N,Apsildāma stūre ar ādas apdari,N,Apsildāma stūre ar ādas apdari,Apsildāma stūre ar ādas apdari,
NR74,Ādas stūres rats,N,Apsildāma stūre ar ādas apdari,N,Apsildāma stūre ar ādas apdari,Apsildāma stūre ar ādas apdari,
NR75,"Digitālais displejs – līdz 8,9 collas",N,,N,☐,,
NR76,"Digitālais displejs 9–11,9 collas",N,,N,☐,,
NR77,Digitālais displejs 12+ collas,N,"Divi 12,3"" TFT ekrāni ar braukšanas rādījumu un navigācijas informācijas attēlošanu",N,"Divi 12,3"" TFT ekrāni ar braukšanas rādījumu un navigācijas informācijas attēlošanu","Divi 12,3"" TFT ekrāni",
NR78,— INTERJERS -  SĒDEKĻI —,Y,,,,,
NR79,Apsildāms vadītāja sēdeklis,N,Apsildāmi priekšējie sēdekļ,N,Apsildāmi priekšējie sēdekļ,Apsildāmi priekšējie sēdekļ,
NR80,Apsildāms pasažiera sēdeklis,N,Apsildāmi priekšējie sēdekļ,N,Apsildāmi priekšējie sēdekļ,Apsildāmi priekšējie sēdekļ,
NR81,Apsildāmi aizmugurējie sēdekļi,N,,N,☐,,
NR82,Vadītāja sēdekļa jostasvietas regulēšana manuāli,N,,N,☐,,
NR83,Pasažiera sēdekļa jostasvietas regulēšana manuāli,N,,N,☐,,
NR84,Vadītāja sēdekļa jostasvietas regulēšana elektriski,N,,N,☐,Autovadītāja sēdekļa jostas vietas atbalsts,
NR85,Pasažiera sēdekļa jostasvietas regulēšana elektriski,N,,N,☐,,
NR86,Vadītāja sēdekļa elektriska regulēšana,N,6 virzienos elektriski regulējami autovadītāja un priekšējā pasažiera sēdekļi,N,6 virzienos elektriski regulējami autovadītāja un priekšējā pasažiera sēdekļi,6 virzienos elektriski regulējami autovadītāja un priekšējā pasažiera sēdekļi,
NR87,Pasažiera sēdekļa elektriska regulēšana,N,6 virzienos elektriski regulējami autovadītāja un priekšējā pasažiera sēdekļi,N,6 virzienos elektriski regulējami autovadītāja un priekšējā pasažiera sēdekļi,6 virzienos elektriski regulējami autovadītāja un priekšējā pasažiera sēdekļi,
NR88,Elektriski regulējams vadītāja sēdeklis ar atmiņu,N,,N,☐,,
NR89,Elektriski regulējams pasažiera sēdeklis ar atmiņu,N,,N,☐,,
NR90,Sēdekļu apdare - audums/sintētiska āda,N,"Sēdekļi ar daļēju PVC un auduma apdari, Black",N,Sēdekļi ar daļēju PVC un auduma apdari,"Sēdekļi ar daļēju PVC un auduma apdari, Black",
NR91,Sēdekļu apdare - Alcantara/sintētiska āda,N,,N,☐,,
NR92,Sēdekļu apdare - sintētiska āda,N,,N,☐,,
NR93,— INTERJERS -  VADĪTĀJA PALĪDZĪBAS TEHNOLOĢIJAS —,Y,,,,,
NR94,Automātiskā parkošanās sistēma,N,,N,☐,,
NR95,Aklās zona uzraudzība,N,"""Aklās"" zonas brīdinājuma sistēma un ""aklās"" zonas palīgsistēma",N,"Aklās"" zonas brīdinājuma sistēma un ""aklās"" zonas palīgsistēma","Aklās"" zonas brīdinājuma sistēma un ""aklās"" zonas palīgsistēma",
NR96,Aklās zona uzraudzība ar krustojuma satiksmes brīdinājumu,N,Aizmugurējā ārkārtas bremzēšanas sistēma ar gājēju atpazīšanas sistēmu un brīdinājums par satiksmi aizmugurē,N,☑,Aizmugurējā ārkārtas bremzēšanas sistēma ar gājēju atpazīšanas sistēmu un brīdinājums par satiksmi aizmugurē,
NR97,Kruīza kontrole,N,,N,☐,Inteliģentā kruīza kontrole,
NR98,Kruīza kontrole – adaptīvā,N,nteliģentā kruīza kontrole,N,nteliģentā kruīza kontrole,nteliģentā kruīza kontrole,
NR99,Kruīza kontrole – adaptīvā Stop&Go,N,,N,☐,,
NR100,Kruīza kontrole – adaptīvā satiksmes sastrēgumu gadījumā,N,"Satiksmes sastrēgumu ""pilota"" sistēma",N,☑,Pro PILOT Assist ar Navi-Link,
NR101,"Kruīza kontrole – adaptīvā, balstīta uz navigācijas sistēmu",N,Pro PILOT Assist ar Navi-Link,N,Pro PILOT Assist ar Navi-Link,Pro PILOT Assist ar Navi-Link,
NR102,Joslas centrēšana un apdzīšanas palīgs,N,Inteliģentā braukšanas joslas saglabāšanas palīgsistēma,N,☑,,
NR103,Kamera – priekšējais 360° skats,N,nteliģentais apkārtskata monitors (360° kamera),N,nteliģentais apkārtskata monitors (360° kamera),nteliģentais apkārtskata monitors (360° kamera),
NR104,Kamera – aizmugurējais skats,N,,N,☐,,
NR105,Stāvvietas palīgs – priekšējie sensori,N,Priekšējie un aizmugurējie automobiļa stāvvietā novietošanas sensori,N,Priekšējie un aizmugurējie automobiļa stāvvietā novietošanas sensori,Priekšējie un aizmugurējie automobiļa stāvvietā novietošanas sensori,
NR106,Stāvvietas palīgs – aizmugurējie sensori,N,Priekšējie un aizmugurējie automobiļa stāvvietā novietošanas sensori,N,Priekšējie un aizmugurējie automobiļa stāvvietā novietošanas sensori,Priekšējie un aizmugurējie automobiļa stāvvietā novietošanas sensori,
NR107,— MEHĀNISKAIS -  ŠASIJA —,Y,,,,,
NR108,AEBS ar gājēju un velosipēdistu atpazīšanu,N,Inteliģentā ārkārtas bremzēšanas sistēma ar gājēju un riteņbraucēju atpazīšanas sistēmu un krustojumu palīgsistēmu,N,Inteliģentā ārkārtas bremzēšanas sistēma ar gājēju un riteņbraucēju atpazīšanas sistēmu,Inteliģentā ārkārtas bremzēšanas sistēma ar gājēju un riteņbraucēju atpazīšanas sistēmu,
NR109,Sadursmes mīkstināšana - pēc sadursmes,N,,N,☐,,
NR110,Stāvbremze - elektriska,N,"Elektroniskā stāvbremze un ""Auto Hold"" funkcija",N,"Elektroniskā stāvbremze un ""Auto Hold"" funkcija","Elektroniskā stāvbremze un ""Auto Hold"" funkcija",
NR111,— MEHĀNISKAIS -  RITEŅI/RIEPAS —,Y,,,,,
NR112,"17"" tērauda riteņi",N,,N,☐,,
NR113,"17"" vieglmetāla riteņi",N,,N,☐,,
NR114,"18"" tērauda riteņi",N,,N,☐,,
NR115,"18"" vieglmetāla riteņi",N,,N,☐,,
