Nr Code,Variable Name,Is TT,Match (Yes/No/Maybe),Include,Matching Text,LLM_Reason,Accepted
NR25,— PIEDZIŅA —,Y,,,,,
NR26,4X4 pilna laika (4WD / AWD),,No,N,,,
NR27,— ĀRĒJAIS IZSKATS -  IZSKATS/STILS —,Y,,,,,
NR28,Krāsa – metāliska kā standarta,,No,N,,,
NR29,— ĀRĒJAIS IZSKATS -  FUNKCIONALITĀTE —,Y,,,,,
NR30,Durvju spoguļi - elektriski/sildāmi,,Maybe,N,"Elektriski regulējami, nolokāmi un apsildāmi ārējie spoguļi",,
NR31,Durvju spoguļi - elektriski/sildāmi/salokāmi,,Yes,N,"Elektriski regulējami, nolokāmi un apsildāmi ārējie spoguļi",,
NR32,Durvju spoguļi - elektriski/sildāmi/salokāmi ar atmiņu,,No,N,,,
NR33,Priekšējie Vējstikla Tīrītāji -  Automātiski,,Maybe,N,Lietus sensors,,
NR34,Stikls - Tonēts ar privātuma aizsardzību aizmugurē,,Yes,N,Tonēti stikli,,
NR35,Apsildāms vējstikls,,No,N,,,
NR36,Bagāžnieka durvis - Elektriski atveramas,,No,N,,,
NR37,Bagāžnieka durvis - Elektriski atveramas ar bezroku vadību,,No,N,,,
NR38,Jumta sliedes,,No,N,,,
NR39,Priekšējais bagāžnieks,,No,N,,,
NR40,Panorāmas jumts,,No,N,,,
NR41,— ĀRĒJAIS IZSKATS -  APGAISMOJUMS —,Y,,,,,
NR42,Dienas gaitas lukturi - LED,,No,N,,,
NR43,Priekšējie miglas lukturi - LED,,No,N,,,
NR44,Priekšējie miglas lukturi – LED integrēti,,No,N,,,
NR45,Priekšējo lukturu vadība – automātiska ieslēgšana/izslēgšana,,Maybe,N,,,
NR46,Priekšējo lukturu vadība – automātiska ieslēgšana/izslēgšana un tālās/tuvās gaismas,,Yes,N,Automātiskā tālās gaismas pārslēgšana,,
NR47,Priekšējie lukturi – LED,,Yes,N,LED priekšējie lukturi,,
NR48,Priekšējie lukturi – adaptīvie LED bez Matrix vai Glare Free,,No,N,,,
NR49,Priekšējie lukturi – adaptīvie LED ar Matrix vai Glare Free,,No,N,,,
NR50,— INTERJERS – KOMFORTS/ĒRTĪBAS —,Y,,,,,
NR51,Gaisa kondicionētājs – EATC 1 zona,,No,N,,,
NR52,Gaisa kondicionētājs – EATC 2 zonas,,Yes,N,Divu zonu automātiskā klimata kontrole,,
NR53,Gaisa kondicionētājs – EATC 3 zonas,,No,N,,,
NR54,Salona gaisa attīrītājs,,No,N,,,
NR55,Centrālā konsole ar roku balstu,,No,N,,,
NR56,Apgaismojums – salons ar daudzkrāsu LED,,No,N,,,
NR57,Automātiski tumšojams salona spogulis,,Maybe,N,Automātiski tonējoši atpakaļskata spoguļi,,
NR58,Elektrības pieslēgums – aizmugurē,,Yes,N,12V / 120W ligzda bagāžas nodalījumā,,
NR59,Bezvadu uzlāde,,No,N,,,
NR60,— INTERJERS – IN CAR ENTERTAINMENT/KOMUNIKĀCIJAS —,Y,,,,,
NR61,Zīmola skaņas sistēma ar vairāk nekā 6 skaļruņiem,,Yes,N,7 skaļruņi,,
NR62,"Daudzfunkcionāls skārienjūtīgais ekrāns - 6 - 8""",,No,N,,,
NR63,"Daudzfunkcionāls skārienjūtīgais ekrāns - 8 - 10""",,No,N,,,
NR64,"Daudzfunkcionāls skārienjūtīgais ekrāns - 10 - 12""",,No,N,,,
NR65,"Daudzfunkcionāls skārienjūtīgais ekrāns - 12 - """,,Yes,N,"14,6 collu centrālais skārienekrāns",,
NR66,Navigācijas centrs,,No,N,Navigācija ar ātruma ierobežojumu brīdinājumu,,
NR67,Navigācijas centrs - savienots,,No,N,,,
NR68,Android Auto un Apple CarPlay,,Yes,N,SYNC 4ar Android Auto un Apple Car Play,,
NR69,Android Auto un Apple CarPlay - bezvadu,,Yes,N,"SYNC 4ar Android Auto un Apple Car Play, USB un bezvadu savienojamība",,
NR70,Vieds palīgs ar AI,,No,N,,,
NR71,Head - Up displejs,,No,N,,,
NR72,— INTERJERS -  INSTRUMENTI/VADĪBAS ELEMENTI —,Y,,,,,
NR73,Apsildāms stūres rats,,No,N,,,
NR74,Ādas stūres rats,,No,N,,,
NR75,"Digitālais displejs – līdz 8,9 collas",,No,N,,,
NR76,"Digitālais displejs 9–11,9 collas",,No,N,"5,3 collu digitālais instrumentu panelis",,
NR77,Digitālais displejs 12+ collas,,No,N,"14,6 collu centrālais skārienekrāns",,
NR78,— INTERJERS -  SĒDEKĻI —,Y,,,,,
NR79,Apsildāms vadītāja sēdeklis,,No,N,,,
NR80,Apsildāms pasažiera sēdeklis,,No,N,,,
NR81,Apsildāmi aizmugurējie sēdekļi,,No,N,,,
NR82,Vadītāja sēdekļa jostasvietas regulēšana manuāli,,No,N,,,
NR83,Pasažiera sēdekļa jostasvietas regulēšana manuāli,,No,N,,,
NR84,Vadītāja sēdekļa jostasvietas regulēšana elektriski,,No,N,,,
NR85,Pasažiera sēdekļa jostasvietas regulēšana elektriski,,No,N,,,
