Nr Code,Variable Name,Is TT,LV Match,EN Match,Final Match,Include,LV Text,EN Text,Consensus Reasoning,Accepted
NR25,V2L funkcija,N,No,,No,☐,,No (0Y/0M/3N),,
NR26,Siltumsūknis,N,No,,No,☐,,No (0Y/0M/3N),,
NR27,Piedziņas Sistēma,Y,,,,☐,,,,
NR28,4X4 pilna laika (4WD / AWD),N,No,,No,☐,,No (0Y/0M/3N),,
NR29,Ārējais Izskats -  Izskats/Stils,Y,,,,☐,,,,
NR30,Krāsa - Metāliska (standarta),N,Yes,Metāliska virsbūves krāsa,Yes,☑,Metāliska virsbūves krāsa,Maybe (2Y/1M/0N),"""Metāliska virsbūves krāsa""",
NR31,Ārējais Izskats -  Funkcionalitāte,Y,,,,☐,,,,
NR32,Durvju spoguļi - Elektriski/sildāmi,N,No,,Maybe,☑,"Elektriski regulējami, nolokāmi un apsildāmi arējie atpakaļskata spoguļi",Yes (3Y/0M/0N),"""Elektriski regulējami, nolokāmi un apsildāmi arējie atpakaļskata spoguļi""",
NR33,Durvju spoguļi - Elektriski/sildāmi/salokāmi,N,Yes,"Elektriski regulējami, nolokāmi un apsildāmi arējie atpakaļskata spoguļi ar atmiņas funkciju",Yes,☑,"Elektriski regulējami, nolokāmi un apsildāmi arējie atpakaļskata spoguļi ar atmiņas funkciju",Yes (3Y/0M/0N),"""Elektriski regulējami, nolokāmi un apsildāmi arējie atpakaļskata spoguļi""",
NR34,Durvju spoguļi - Elektriski/sildāmi/salokāmi ar atmiņu,N,Yes,"Elektriski regulējami, nolokāmi un apsildāmi arējie atpakaļskata spoguļi ar atmiņas funkciju",Yes,☑,"Elektriski regulējami, nolokāmi un apsildāmi arējie atpakaļskata spoguļi ar atmiņas funkciju",Yes (3Y/0M/0N),"""Elektriski regulējami, nolokāmi un apsildāmi arējie atpakaļskata spoguļi ar atmiņas funkciju""",
