Nr Code,Variable Name,Is TT,Match (Yes/No/Maybe),Include,Matching Text,LLM_Reason,Accepted
NR25,V2L funkcija,N,No,N,,,
NR26,Siltumsūknis,N,Yes,Y,Siltumsūknis,Siltumsūknis,X
NR27,— PIEDZIŅAS SISTĒMA —,Y,,,,,
NR28,4X4 pilna laika (4WD / AWD),N,No,N,,,
NR29,— ĀRĒJAIS IZSKATS -  IZSKATS/STILS —,Y,,,,,
NR30,Krāsa - Metāliska (standarta),N,No,N,,,
NR31,— ĀRĒJAIS IZSKATS -  FUNKCIONALITĀTE —,Y,,,,,
NR32,Durvju spoguļi - Elektriski/sildāmi,N,Maybe,Y,"Automātiski pielokāmi, apsildāmi sānu spoguļi","Automātiski pielokāmi, apsildāmi sānu spoguļi",X
NR33,Durvju spoguļi - Elektriski/sildāmi/salokāmi,N,Yes,Y,"Automātiski pielokāmi, apsildāmi sānu spoguļi","Automātiski pielokāmi, apsildāmi sānu spoguļi",X
NR34,Durvju spoguļi - Elektriski/sildāmi/salokāmi ar atmiņu,N,No,N,,,
NR35,Priekšējie vējstikla tīrītāji - Automātiski,N,Yes,Y,Vējstikla tīrītāji ar lietus sensoru,Vējstikla tīrītāji ar lietus sensoru,X
NR36,Stikls - Tonēts ar privātuma aizsardzību aizmugurē,N,Yes,Y,Tonēti aizmugurējo logu stikli,Tonēti aizmugurējo logu stikli,X
NR37,Apsildāms vējstikls,N,Yes,Y,Apsildāms vējstikls,Apsildāms vējstikls,X
NR38,Bagāžnieka durvis - Elektriskas,N,Maybe,Y,"Elektriski, ar brīvroku funkciju vadāmas bagāžas nodalījuma durvis","Elektriski, ar brīvroku funkciju vadāmas bagāžas nodalījuma durvis",X
NR39,Bagāžnieka durvis - Elektriskas ar bezroku vadību,N,Yes,Y,"Elektriski, ar brīvroku funkciju vadāmas bagāžas nodalījuma durvis","Elektriski, ar brīvroku funkciju vadāmas bagāžas nodalījuma durvis",X
NR40,Jumta sliedes,N,No,N,,,
NR41,Priekšējais bagāžnieks,N,No,N,,,
NR42,Panorāmas jumts,N,No,N,,,
NR43,— ĀRĒJAIS IZSKATS -  APGAISMOJUMS —,Y,,,,,
NR44,Dienas gaitas lukturi - LED,N,Yes,Y,LED dienas gaitas lukturi,LED dienas gaitas lukturi,X
NR45,Priekšējie miglas lukturi - LED,N,Yes,Y,LED priekšējie miglas lukturi,LED priekšējie miglas lukturi,X
NR46,Priekšējie miglas lukturi – LED integrēti,N,No,N,,,
NR47,Priekšējo lukturu vadība – automātiska,N,Yes,Y,Automātiski LED priekšējie lukturi,Automātiski LED priekšējie lukturi,X
NR48,Priekšējo lukturu vadība – automātiska augsta/zema gaisma,N,Yes,Y,Automātiskās tuvās / tālās gaismas,Automātiskās tuvās / tālās gaismas,X
NR49,Priekšējie lukturi – LED,N,Yes,Y,Automātiski LED priekšējie lukturi,Automātiski LED priekšējie lukturi,X
NR50,Priekšējie lukturi – adaptīvie LED bez Matrix vai Glare Free,N,No,N,,,
NR51,Priekšējie lukturi – adaptīvie LED ar Matrix vai Glare Free,N,No,N,,,
NR52,— INTERJERS – KOMFORTS/ĒRTĪBAS —,Y,,,,,
NR53,Gaisa kondicionētājs,N,No,N,,automobiļa gaisa kondicionēšanas sistēmas,
NR54,Gaisa kondicionētājs – EATC 2 zonas,N,Yes,Y,Divu zonu automātiskā klimata kontrole,Divu zonu automātiskā klimata kontrole,X
NR55,Gaisa kondicionētājs – EATC 3 zonas,N,No,N,,,
NR56,Salona gaisa attīrītājs,N,Yes,Y,Plazmas klastera jonu gaisa attīrītājs,Plazmas klastera jonu gaisa attīrītājs,X
NR57,Apgaismojums – salons ar daudzkrāsu LED,N,Yes,Y,Noskaņu radošs LED apgaismojums,Noskaņu radošs LED apgaismojums,X
NR58,Centrālā konsole ar roku balstu,N,Yes,Y,Kabatas priekšējo sēdekļu aizmugurē un elkoņbalsts aizmugurē,Centrālā console,X
NR59,Automātiski tumšojams salona spogulis,N,Yes,Y,Automātiski aptumšojošs automobiļa salona atpakaļskata spogulis bez rāmja,Automātiski aptumšojošs automobiļa salona atpakaļskata spogulis bez rāmja,X
NR60,12 V bagāžas nodalījumā,N,No,N,,,
NR61,Bezvadu uzlāde,N,Yes,Y,Bezvadu viedtālruņa lādētājs,Bezvadu viedtālruņa lādētājs,X
NR62,— INTERJERS – IN CAR ENTERTAINMENT/KOMUNIKĀCIJAS —,Y,,,,,
NR63,"Daudzfunkcionāls skārienjūtīgais ekrāns - 6 - 7,9""",N,No,N,,,
NR64,"Daudzfunkcionāls skārienjūtīgais ekrāns - 8 - 9,9""",N,No,N,,,
NR65,"Daudzfunkcionāls skārienjūtīgais ekrāns - 10 - 11,9""",N,No,N,,,
NR66,"Daudzfunkcionāls skārienjūtīgais ekrāns - 12 - """,N,Yes,Y,"Divi 12,3"" TFT ekrāni ar braukšanas rādījumu un navigācijas informācijas attēlošanu","Divi 12,3"" TFT ekrāni",X
NR67,Zīmola audio sistēma,N,No,N,,,
NR68,Navigācijas centrs,N,No,N,,"Divi 12,3"" TFT ekrāni ar braukšanas rādījumu un navigācijas informācijas attēlošanu",
NR69,Navigācijas centrs - savienots,N,No,N,,"Telemātika attālinātās vadības pakalpojumi, paziņojumi un savienojamības pakalpojumi",
NR70,Android Auto un Apple CarPlay,N,Yes,Y,Bezvadu Apple Car Play un ar vadu savienojams Android Auto,Bezvadu Apple Car Play un ar vadu savienojams Android Auto,X
NR71,Android Auto un Apple CarPlay - bezvadu,N,Yes,Y,Bezvadu Apple Car Play un ar vadu savienojams Android Auto,Bezvadu Apple Car Play,X
NR72,Vieds palīgs ar AI,N,No,N,,,
NR73,Head - Up displejs,N,No,N,,,
NR74,— INTERJERS -  INSTRUMENTI/VADĪBAS ELEMENTI —,Y,,,,,
NR75,Apsildāms stūres rats,N,Yes,Y,Apsildāma stūre ar ādas apdari,Apsildāma stūre ar ādas apdari,X
NR76,Ādas stūres rats,N,Yes,Y,Apsildāma stūre ar ādas apdari,Apsildāma stūre ar ādas apdari,X
NR77,"Digitālais displejs – līdz 8,9""",N,No,N,,,
NR78,"Digitālais displejs 9“ - 11,9”",N,No,N,,,
NR79,"Digitālais displejs 12+""",N,Yes,Y,"Divi 12,3"" TFT ekrāni ar braukšanas rādījumu un navigācijas informācijas attēlošanu","Divi 12,3"" TFT ekrāni",X
NR80,— INTERJERS -  SĒDEKĻI —,Y,,,,,
NR81,Apsildāms vadītāja sēdeklis,N,Yes,Y,Apsildāmi priekšējie sēdekļ,Apsildāmi priekšējie sēdekļ,X
NR82,Apsildāms pasažiera sēdeklis,N,Yes,Y,Apsildāmi priekšējie sēdekļ,Apsildāmi priekšējie sēdekļ,X
