Nr Code,Variable Name,Is TT,LV Match,LV Text,EN Match,EN Text,Consensus Vote,Consensus Text,Include
NR25,V2L funkcija,N,No,,No,,No (0Y/0M/3N),,☐
NR26,Siltumsūknis,N,No,,No,,No (0Y/0M/3N),,☐
NR27,Piedziņas Sistēma,Y,,,,,,,
NR28,4X4 pilna laika (4WD / AWD),N,No,,No,,No (0Y/0M/3N),,☐
NR29,Ārējais Izskats -  Izskats/Stils,Y,,,,,,,
NR30,Krāsa - Metāliska (standarta),N,No,,No,,No (0Y/0M/3N),,☐
NR31,Ārējais Izskats -  Funkcionalitāte,Y,,,,,,,
NR32,Durvju spoguļi - Elektriski/sildāmi,N,Yes,Elektriski regulējami sānu spoguļi ar pagrieziena rādītāju,Yes,Elektriski regulējami sānu spoguļi ar pagrieziena rādītāju,Yes (3Y/0M/0N),"""Elektriski regulējami sānu spoguļi ar pagrieziena rādītāju""",☑
NR33,Durvju spoguļi - Elektriski/sildāmi/salokāmi,N,Yes,Elektriski regulējami sānu spoguļi ar pagrieziena rādītāju,Yes,Apsildāmi un automātiski pielokāmi sānu spoguļi,Yes (3Y/0M/0N),"""Apsildāmi un automātiski pielokāmi sānu spoguļi""",☑
NR34,Durvju spoguļi - Elektriski/sildāmi/salokāmi ar atmiņu,N,No,,No,,No (0Y/0M/3N),,☐
NR35,Priekšējie vējstikla tīrītāji - Automātiski,N,Yes,Automātiski stikla tīrītāji un lietus sensors,Yes,Automātiski stikla tīrītāji un lietus sensors,Yes (3Y/0M/0N),"""Automātiski stikla tīrītāji un lietus sensors""",☑
NR36,Stikls - Tonēts ar privātuma aizsardzību aizmugurē,N,No,,No,,No (0Y/0M/3N),,☐
NR37,Apsildāms vējstikls,N,No,,No,,No (0Y/0M/3N),,☐
NR38,Bagāžnieka durvis - Elektriskas,N,No,,No,,No (0Y/0M/3N),,☐
NR39,Bagāžnieka durvis - Elektriskas ar bezroku vadību,N,No,,No,,No (0Y/0M/3N),,☐
