Nr Code,Variable Name,Is TT,Match (Yes/No/Maybe),Include,Matching Text,LLM_Reason,Accepted
NR25,V2L funkcija,,No,N,,,
NR26,Siltumsūknis,,No,N,,,
NR27,— PIEDZIŅAS SISTĒMA —,Y,,,,,
NR28,4X4 pilna laika (4WD / AWD),,No,N,,,
NR29,— ĀRĒJAIS IZSKATS -  IZSKATS/STILS —,Y,,,,,
NR30,Krāsa - Metāliska (standarta),,Yes,N,Metāliska virsbūves krāsa,,
NR31,— ĀRĒJAIS IZSKATS -  FUNKCIONALITĀTE —,Y,,,,,
NR32,Durvju spoguļi - Elektriski/sildāmi,,Maybe,N,"Elektriski regulējami, nolokāmi un apsildāmi arējie atpakaļskata spoguļi",,
NR33,Durvju spoguļi - Elektriski/sildāmi/salokāmi,,Yes,N,"Elektriski regulējami, nolokāmi un apsildāmi arējie atpakaļskata spoguļi",,
NR34,Durvju spoguļi - Elektriski/sildāmi/salokāmi ar atmiņu,,Yes,N,"Elektriski regulējami, nolokāmi un apsildāmi arējie atpakaļskata spoguļi ar atmiņas funkciju",,
NR35,Priekšējie vējstikla tīrītāji - Automātiski,,Yes,N,Lietus sensors,,
NR36,Stikls - Tonēts ar privātuma aizsardzību aizmugurē,,Yes,N,skaņu izolējoši durvju logi un aptumšoti aizmugurējie sānu logi un aizmugurējais stikls,,
NR37,Apsildāms vējstikls,,Maybe,N,,,
NR38,Bagāžnieka durvis - Elektriskas,,Yes,N,elektriska aizvēršana,,
NR39,Bagāžnieka durvis - Elektriskas ar bezroku vadību,,Yes,N,bagāžas nodalījuma atvēršana ar sensoru palīdzību un elektriska aizvēršana,,
NR40,Jumta sliedes,,Yes,N,Melni jumta reliņi,,
NR41,Priekšējais bagāžnieks,,No,N,,,
NR42,Panorāmas jumts,,No,N,,,
NR43,— ĀRĒJAIS IZSKATS -  APGAISMOJUMS —,Y,,,,,
NR44,Dienas gaitas lukturi - LED,,No,N,LED plus priekšējie lukturi,,
NR45,Priekšējie miglas lukturi - LED,,No,N,,,
NR46,Priekšējie miglas lukturi – LED integrēti,,No,N,,,
NR47,Priekšējo lukturu vadība – automātiska,,No,N,Tālo gaismu asistents Light Assist,,
NR48,Priekšējo lukturu vadība – automātiska augsta/zema gaisma,,Yes,N,Tālo gaismu asistents Light Assist,,
NR49,Priekšējie lukturi – LED,,Yes,N,LED priekšējie lukturi,,
NR50,Priekšējie lukturi – adaptīvie LED bez Matrix vai Glare Free,,Yes,N,dinamiskās līkumgaismas,,
NR51,Priekšējie lukturi – adaptīvie LED ar Matrix vai Glare Free,,No,N,,,
NR52,— INTERJERS – KOMFORTS/ĒRTĪBAS —,Y,,,,,
NR53,Gaisa kondicionētājs,,Yes,N,Gaisa kondicionēšanas sistēma Climatronic ar 3-zonu temperatūras kontroli,,
NR54,Gaisa kondicionētājs – EATC 2 zonas,,No,N,,,
NR55,Gaisa kondicionētājs – EATC 3 zonas,,Yes,N,Gaisa kondicionēšanas sistēma Climatronic ar 3-zonu temperatūras kontroli,,
NR56,Salona gaisa attīrītājs,,No,N,,,
NR57,Apgaismojums – salons ar daudzkrāsu LED,,Yes,N,Mērierīču paneļa un durvju komforta apgaismojums (10 krāsas),,
NR58,Centrālā konsole ar roku balstu,,Yes,N,Priekšējais elkoņbalsts,,
NR59,Automātiski tumšojams salona spogulis,,Yes,N,Pašaptumšojošs salona atpakaļskata spogulis,,
NR60,12 V bagāžas nodalījumā,,Yes,N,12V ligzda bagāžas nodalījumā,,
NR61,Bezvadu uzlāde,,No,N,,,
NR62,— INTERJERS – IN CAR ENTERTAINMENT/KOMUNIKĀCIJAS —,Y,,,,,
NR63,"Daudzfunkcionāls skārienjūtīgais ekrāns - 6 - 7,9""",,No,N,,,
NR64,"Daudzfunkcionāls skārienjūtīgais ekrāns - 8 - 9,9""",,No,N,,,
NR65,"Daudzfunkcionāls skārienjūtīgais ekrāns - 10 - 11,9""",,No,N,,,
NR66,"Daudzfunkcionāls skārienjūtīgais ekrāns - 12 - """,,Yes,N,Informācijas un izklaides sistēma ar 32cm skārienekrānu,,
NR67,Zīmola audio sistēma,,No,N,,,
NR68,Navigācijas centrs,,No,N,sagatavots navigācijas aktivizēšanai,,
NR69,Navigācijas centrs - savienots,,No,N,,,
NR70,Android Auto un Apple CarPlay,,No,N,App Connect funkcija,,
NR71,Android Auto un Apple CarPlay - bezvadu,,Yes,N,App Connect funkcija ar App-Connect Wireless,,
NR72,Vieds palīgs ar AI,,No,N,,,
NR73,Head - Up displejs,,No,N,,,
NR74,— INTERJERS -  INSTRUMENTI/VADĪBAS ELEMENTI —,Y,,,,,
NR75,Apsildāms stūres rats,,No,N,Apsildāma ādas apdares multifunkciju stūre,,
