Nr Code,Variable Name,Is TT,Match (Yes/No/Maybe),Matching Text,LLM_Reason
NR23,Piedziņa,Y,,,
NR24,4X4 pilna laika (4WD / AWD),N,No,,No equivalent feature found for 4X4 pilna laika (4WD / AWD)
NR25,Pārnesumkārba,Y,,,
NR26,Automātiskā pārnesumkārba,N,No,,No equivalent feature found for Automātiskā pārnesumkārba
NR27,Hibrīda Tehnoloģija,Y,,,
NR28,mHEV,N,No,,No equivalent feature found for mHEV
NR29,FHEV,N,No,,No equivalent feature found for FHEV
NR30,PHEV,N,No,,No equivalent feature found for PHEV
NR31,Krāsa,Y,,,
NR32,Metāliska krāsa kā standarts,N,No,,No equivalent feature found for Metāliska krāsa kā standarts
NR33,Ārējais Izskats -  Funkcionāls,Y,,,
NR34,Durvju spoguļi - Elektriski/sildāmi,N,Yes,Elektriski regulējami sānu spoguļi ar pagrieziena rādītāju,Matches with Durvju spoguļi - Elektriski/sildāmi
NR35,Durvju spoguļi - elektriski/sildāmi/nolokāmi,N,Yes,Apsildāmi un automātiski pielokāmi sānu spoguļi,Matches with Durvju spoguļi - elektriski/sildāmi/nolokāmi
NR36,Priekšējie vējstikla tīrītāji - automātiski,N,Yes,Automātiski stikla tīrītāji un lietus sensors,Matches with Priekšējie vējstikla tīrītāji - automātiski
NR37,Stikls - tonēts ar privātuma aizsardzību aizmugurē,N,No,,No equivalent feature found for Stikls - tonēts ar privātuma aizsardzību aizmugurē
NR38,Sildāms vējstikls,N,No,,No equivalent feature found for Sildāms vējstikls
NR39,Bagāžnieka durvis - elektriski atveramas,N,No,,No equivalent feature found for Bagāžnieka durvis - elektriski atveramas
NR40,Jumta sliedes,N,No,,No equivalent feature found for Jumta sliedes
NR41,Panorāmas jumts,N,No,,No equivalent feature found for Panorāmas jumts
NR42,Ārējais Izskats -  Apgaismojums,Y,,,
NR43,Dienas gaitas lukturi - LED,N,Yes,LED dienas apgaismojuma lukturi,Matches with Dienas gaitas lukturi - LED
NR44,Priekšējie miglas lukturi - LED,N,No,,No equivalent feature found for Priekšējie miglas lukturi - LED
NR45,Priekšējie miglas lukturi – LED integrēti,N,No,,No equivalent feature found for Priekšējie miglas lukturi – LED integrēti
NR46,Priekšējo lukturu vadība – automātiska ieslēgšana/izslēgšana,N,No,,No equivalent feature found for Priekšējo lukturu vadība – automātiska ieslēgšana/izslēgšana
NR47,Priekšējo lukturu vadība – automātiska ieslēgšana/izslēgšana un tālās/tuvās gaismas,N,No,,No equivalent feature found for Priekšējo lukturu vadība – automātiska ieslēgšana/izslēgšana un tālās/tuvās gaismas
NR48,Priekšējie lukturi – LED,N,Yes,LED priekšējie lukturi,Matches with Priekšējie lukturi – LED
NR49,Priekšējie lukturi – adaptīvie LED bez Matrix vai Glare Free,N,No,,No equivalent feature found for Priekšējie lukturi – adaptīvie LED bez Matrix vai Glare Free
NR50,Priekšējie lukturi – adaptīvie LED ar Matrix vai Glare Free,N,No,,No equivalent feature found for Priekšējie lukturi – adaptīvie LED ar Matrix vai Glare Free
NR51,Interjers – Komforts/Ērtības,Y,,,
NR52,Gaisa kondicionētājs,N,Yes,Automātiskā gaisa kondicionēšanas sistēma,Matches with Gaisa kondicionētājs
NR53,Gaisa kondicionētājs - EATC 1 zona,N,No,,No equivalent feature found for Gaisa kondicionētājs - EATC 1 zona
NR54,Gaisa kondicionētājs - EATC 2 zonas,N,No,,No equivalent feature found for Gaisa kondicionētājs - EATC 2 zonas
NR55,Gaisa kondicionētājs - EATC 3 zonas,N,No,,No equivalent feature found for Gaisa kondicionētājs - EATC 3 zonas
NR56,Salona gaisa attīrītājs,N,No,,No equivalent feature found for Salona gaisa attīrītājs
NR57,Apgaismojums - salons ar daudzkrāsu LED,N,No,,No equivalent feature found for Apgaismojums - salons ar daudzkrāsu LED
NR58,Centrālā konsole ar roku balstu,N,No,,No equivalent feature found for Centrālā konsole ar roku balstu
NR59,Automātiski tumšojams salona spogulis,N,No,,No equivalent feature found for Automātiski tumšojams salona spogulis
NR60,12 V bagāžas nodalījumā,N,Yes,12 V bagāžas nodalījumā,Matches with 12 V bagāžas nodalījumā
NR61,Bezvadu uzlāde,N,No,,No equivalent feature found for Bezvadu uzlāde
NR62,Interjers – In Car Entertainment/Komunikācijas,Y,,,
