Nr Code,Variable Name,Is TT,Intelligent Match,Consensus Match,Final Match,Intelligent Text,Consensus Text,Final Text,Intelligent Reason,Consensus Reason,Combined Reason
NR23,Piedziņa,Y,,,,,,,,,
NR24,4X4 pilna laika (4WD / AWD),N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR25,Pārnesumkārba,Y,,,,,,,,,
NR26,Automātiskā pārnesumkārba,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR27,Hibrīda Tehnoloģija,Y,,,,,,,,,
NR28,mHEV,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR29,FHEV,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR30,PHEV,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR31,Krāsa,Y,,,,,,,,,
NR32,Metāliska krāsa kā standarts,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR33,Ārējais Izskats -  Funkcionāls,Y,,,,,,,,,
NR34,Durvju spoguļi - Elektriski/sildāmi,N,Yes,Yes,Yes,"Electrically adjustable, foldable, and heated side mirrors.","""Electrically adjustable, foldable, and heated side mirrors.""","Electrically adjustable, foldable, and heated side mirrors.",LV: Matches the description of adjustable side mirrors,Consensus: 3Y/0M/0N - Clearly mentioned as part of the adjustable side mirrors.,Combined: I:Yes/C:Yes = Yes
NR35,Durvju spoguļi - elektriski/sildāmi/nolokāmi,N,Yes,Yes,Yes,"Electrically adjustable, foldable, and heated side mirrors.","""Electrically adjustable, foldable, and heated side mirrors.""","Electrically adjustable, foldable, and heated side mirrors.",LV: Matches the description of adjustable side mirrors,Consensus: 3Y/0M/0N - Clearly mentioned as part of the adjustable side mirrors.,Combined: I:Yes/C:Yes = Yes
NR36,Priekšējie vējstikla tīrītāji - automātiski,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR37,Stikls - tonēts ar privātuma aizsardzību aizmugurē,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR38,Sildāms vējstikls,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR39,Bagāžnieka durvis - elektriski atveramas,N,No,No,No,,N/A,N/A,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR40,Jumta sliedes,N,Yes,Yes,Yes,Available in black (not available for Coupe) or silver (not available for Coupe).,"""Roof Rails: Available in black (not available for Coupe) or silver (not available for Coupe).""",Available in black (not available for Coupe) or silver (not available for Coupe).,LV: Matches the description of roof rails,Consensus: 3Y/0M/0N - Clearly mentioned as part of the design features.,Combined: I:Yes/C:Yes = Yes
