Nr Code,Variable Name,Is TT,Match (Yes/No/Maybe),Include,Matching Text,LLM_Reason,Accepted
NR23,— PIEDZIŅA —,Y,,,,,
NR24,4X4 pilna laika (4WD / AWD),N,No,N,,No equivalent 4X4 feature found (Confidence: 100% - 3/3 votes),
NR25,— PĀRNESUMKĀRBA —,Y,,,,,
NR26,Automātiskā pārnesumkārba,N,No,N,,No equivalent automatic transmission feature found (Confidence: 100% - 3/3 votes),
NR27,— HIBRĪDA TEHNOLOĢIJA —,Y,,,,,
NR28,mHEV,N,No,N,,No equivalent mHEV feature found (Confidence: 100% - 3/3 votes),
NR29,FHEV,N,No,N,,No equivalent FHEV feature found (Confidence: 100% - 3/3 votes),
NR30,PHEV,N,No,N,,No equivalent PHEV feature found (Confidence: 100% - 3/3 votes),
NR31,— KRĀSA —,Y,,,,,
NR32,Metāliska krāsa kā standarts,N,No,N,,No equivalent metallic paint feature found (Confidence: 100% - 3/3 votes),
NR33,— ĀRĒJAIS IZSKATS -  FUNKCIONĀLS —,Y,,,,,
NR34,Durvju spoguļi - elektriski/sildāmi,N,Maybe,Y,Electrically adjustable side mirrors with turn indicator,Matches electric mirror adjustment (Confidence: 100% - 3/3 votes),X
NR35,Durvju spoguļi - elektriski/sildāmi/salokāmi,N,Maybe,Y,Heated and automatically folding side mirrors,Matches electric/heated/folding mirrors (Confidence: 100% - 3/3 votes),X
NR36,Priekšējie vējstikla tīrītāji - Automātiski,N,Maybe,Y,Automatic wipers and rain sensor,Matches automatic windshield wipers (Confidence: 100% - 3/3 votes),X
NR37,Stikls - Tonēts ar privātuma aizsardzību aizmugurē,N,No,N,,No equivalent tinted glass feature found (Confidence: 100% - 3/3 votes),
NR38,Apsildāms vējstikls,N,No,N,,No equivalent heated windshield feature found (Confidence: 100% - 3/3 votes),
NR39,Bagāžnieka durvis – Elektriski atveramas,N,No,N,,No equivalent electric tailgate feature found (Confidence: 100% - 3/3 votes),
NR40,Jumta sliedes,N,No,N,,No equivalent roof rails feature found (Confidence: 100% - 3/3 votes),
NR41,Panorāmas jumts,N,No,N,,No equivalent panoramic roof feature found (Confidence: 100% - 3/3 votes),
NR42,— ĀRĒJAIS IZSKATS -  APGAISMOJUMS —,Y,,,,,
NR43,Dienas gaitas lukturi - LED,N,Maybe,Y,LED daytime running lights,Matches LED daytime running lights (Confidence: 100% - 3/3 votes),X
NR44,Priekšējie miglas lukturi,N,No,N,,No equivalent front fog lights feature found (Confidence: 100% - 3/3 votes),
NR45,Priekšējie miglas lukturi - LED,N,No,N,,No equivalent LED front fog lights feature found (Confidence: 100% - 3/3 votes),
NR46,Galveno lukturu vadība - Automātiska,N,Maybe,Y,Intelligent automatic front headlights,Matches automatic headlight control (Confidence: 100% - 3/3 votes),X
NR47,Galveno lukturu vadība - Automātisks tālās/tuvās gaismas stars,N,No,N,,No equivalent automatic high/low beam feature found (Confidence: 100% - 3/3 votes),
NR48,Galvenie lukturi - LED,N,Maybe,Y,LED front headlights,Matches LED main headlights (Confidence: 100% - 3/3 votes),X
NR49,Aizmugurējie lukturi - LED,N,Maybe,Y,Rear LED fog light,Matches LED rear lights (Confidence: 67% - 2/3 votes),X
NR50,— INTERJERS -  KOMFORTS/ĒRTĪBAS —,Y,,,,,
NR51,Gaisa kondicionētājs,N,No,N,,No equivalent air conditioning feature found (Confidence: 100% - 3/3 votes),
NR52,Gaisa kondicionētājs - EATC 1 zona,N,Maybe,Y,Automatic air conditioning system,Matches EATC 1 zone (Confidence: 100% - 3/3 votes),X
NR53,Gaisa kondicionētājs - EATC 2 zonas,N,No,N,,No equivalent dual-zone air conditioning feature found (Confidence: 100% - 3/3 votes),
NR54,Gaisa kondicionētājs - EATC 3 zonas,N,No,N,,No equivalent tri-zone air conditioning feature found (Confidence: 100% - 3/3 votes),
NR55,Centrālā konsole ar roku balstu,N,Maybe,Y,Front armrest,Matches central console with armrest (Confidence: 100% - 3/3 votes),X
NR56,Automātiski tumšojams salona spogulis,N,No,N,,No equivalent auto-dimming mirror feature found (Confidence: 100% - 3/3 votes),
NR57,12 V bagāžas nodalījumā,N,No,N,,No equivalent 12V luggage compartment feature found (Confidence: 100% - 3/3 votes),
NR58,Bezvadu uzlāde,N,No,N,,No equivalent wireless charging feature found (Confidence: 100% - 3/3 votes),
NR59,— INTERJERS – IN CAR ENTERTAINMENT/KOMUNIKĀCIJAS —,Y,,,,,
NR60,"Daudzfunkcionāls skārienjūtīgais ekrāns - 6 - 7,9""",N,Maybe,Y,"12.3"" touchscreen",Matches multifunctional touchscreen size (Confidence: 100% - 3/3 votes),X
NR61,"Daudzfunkcionāls skārienjūtīgais ekrāns - 8 - 9,9""",N,No,N,,"No equivalent 8-9.9"" touchscreen feature found (Confidence: 100% - 3/3 votes)",
NR62,"Daudzfunkcionāls skārienjūtīgais ekrāns - 10 - 11,9""",N,No,N,,"No equivalent 10-11.9"" touchscreen feature found (Confidence: 100% - 3/3 votes)",
NR63,"Daudzfunkcionāls skārienjūtīgais ekrāns - 12 - """,N,No,N,,"No equivalent 12+"" touchscreen feature found (Confidence: 67% - 2/3 votes)",
NR64,Navigācijas centrs,N,No,N,,No equivalent navigation center feature found (Confidence: 100% - 3/3 votes),
NR65,Navigācijas centrs - savienots,N,No,N,,No equivalent connected navigation center feature found (Confidence: 100% - 3/3 votes),
NR66,Android Auto un Apple CarPlay,N,No,N,,No equivalent Android Auto and Apple CarPlay feature found (Confidence: 100% - 3/3 votes),
NR67,Android Auto un Apple CarPlay - bezvadu,N,Yes,Y,Wireless Apple CarPlay® and Wireless Android Auto™,Matches wireless Android Auto and Apple CarPlay (Confidence: 100% - 3/3 votes),X
NR68,USB - C porti,N,No,N,,No equivalent USB-C ports feature found (Confidence: 100% - 3/3 votes),
NR69,Avārijas zvans,N,Maybe,Y,Emergency and breakdown call (eCall),Matches emergency call feature (Confidence: 100% - 3/3 votes),X
NR70,Head - Up displejs,N,No,N,,No equivalent head-up display feature found (Confidence: 100% - 3/3 votes),
NR71,— SALONS -  INSTRUMENTI/VADĪBAS ELEMENTI —,Y,,,,,
NR72,Apsildāms stūres rats,N,No,N,,No equivalent heated steering wheel feature found (Confidence: 100% - 3/3 votes),
NR73,Ādas (ieskaitot Sensico) stūres rats,N,No,N,,No equivalent leather steering wheel feature found (Confidence: 100% - 3/3 votes),
NR74,Digitālais instrumentu kopums,N,No,N,,No equivalent digital instrument cluster feature found (Confidence: 100% - 3/3 votes),
NR75,— SALONS -  SĒDEKĻI —,Y,,,,,
