Nr Code,Variable Name,Is TT,Intelligent Match,Consensus Match,Final Match,Intelligent Text,Consensus Text,Final Text,Intelligent Reason,Consensus Reason,Combined Reason
NR30,Piedziņa,Y,,,,,,,,,
NR31,4X4 Full time (4WD / AWD),N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR32,Pārnesumkārba,Y,,,,,,,,,
NR33,Automātiskā pārnesumkārba,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR34,Hibrīda Tehnoloģija,Y,,,,,,,,,
NR35,mHEV,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR36,FHEV,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR37,PHEV,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR38,Krāsa,Y,,,,,,,,,
NR39,Metāliska krāsa kā standarts,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR40,Ārējais Izskats -  Funkcionalitāte,Y,,,,,,,,,
NR41,Durvju spoguļi - elektriski/sildāmi,N,Yes,Yes,Yes,"Electrically adjustable, foldable, and heated","""Adjustable Side Mirrors: Electrically adjustable, foldable, and heated.""","Electrically adjustable, foldable, and heated",LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions electrically adjustable and heated side mirrors.,Combined: I:Yes/C:Yes = Yes
NR42,Durvju spoguļi - elektriski/sildāmi/salokāmi,N,Yes,Yes,Yes,"Electrically adjustable, foldable, and heated","""Adjustable Side Mirrors: Electrically adjustable, foldable, and heated.""","Electrically adjustable, foldable, and heated",LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions electrically adjustable and foldable side mirrors.,Combined: I:Yes/C:Yes = Yes
NR43,Priekšējie vējstikla tīrītāji - automātiski,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR44,Stikls - tonēts ar privātuma aizsardzību aizmugurē,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR45,Sildāms vējstikls,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR46,Bagāžnieka durvis - elektriskas,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR47,Jumta sliedes,N,Yes,Yes,Yes,Available in black (not available for Coupe) or silver (not available for Coupe),"""Roof Rails: Available in black (not available for Coupe) or silver (not available for Coupe).""",Available in black (not available for Coupe) or silver (not available for Coupe),LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions roof rails.,Combined: I:Yes/C:Yes = Yes
NR48,Panorāmas jumts,N,Yes,Yes,Yes,Tinted glass (only available for Coupe),"""Panoramic Glass Roof: Tinted glass (only available for Coupe).""",Tinted glass (only available for Coupe),LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions a panoramic roof.,Combined: I:Yes/C:Yes = Yes
NR49,Ārējais Izskats -  Apgaismojums,Y,,,,,,,,,
NR50,Dienas gaismas - LED,N,Yes,Yes,Yes,LED front and rear headlights with a rain sensor,"""Light Assist: LED front and rear headlights with a rain sensor that automatically activates low beams or daytime running lights.""",LED front and rear headlights with a rain sensor,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions LED daytime running lights.,Combined: I:Yes/C:Yes = Yes
NR51,Priekšējie miglas lukturi - LED,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR52,Priekšējie miglas lukturi - LED integrēti,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR53,Priekšējo lukturu vadība - automātiska ieslēgšana/izslēgšana,N,No,Yes,Maybe,,"""Light Assist: LED front and rear headlights with a rain sensor that automatically activates low beams or daytime running lights.""","""Light Assist: LED front and rear headlights with a rain sensor that automatically activates low beams or daytime running lights.""",: No equivalent found in either language,Consensus: 3Y/0M/0N - Implies automatic headlight control.,Combined: I:No/C:Yes = Maybe
NR54,Priekšējo lukturu vadība - automātiska ieslēgšana/izslēgšana un tālās/tuvās gaismas,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR55,Priekšējie lukturi - LED,N,No,Yes,Maybe,,"""Light Assist: LED front and rear headlights.""","""Light Assist: LED front and rear headlights.""",: No equivalent found in either language,Consensus: 3Y/0M/0N - Clearly mentions LED front headlights.,Combined: I:No/C:Yes = Maybe
NR56,Priekšējie lukturi - adaptīvie LED bez Matrix vai Glare Free,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR57,Priekšējie lukturi - adaptīvie LED ar Matrix vai Glare Free,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR58,Interjers -  Komforts/Ērtības,Y,,,,,,,,,
