Nr Code,Variable Name,Is TT,Intelligent Match,Consensus Match,Final Match,Intelligent Text,Consensus Text,Final Text,Language Used,Intelligent Reason,Consensus Reason,Combined Reason
NR30,Piedziņa,Y,,,,,,,,,,
NR31,4X4 Full time (4WD / AWD),N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR32,Pārnesumkārba,Y,,,,,,,,,,
NR33,Automātiskā pārnesumkārba,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR34,Hibrīda Tehnoloģija,Y,,,,,,,,,,
NR35,mHEV,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR36,FHEV,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR37,PHEV,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR38,Krāsa,Y,,,,,,,,,,
NR39,Metāliska krāsa kā standarts,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR40,Ārējais Izskats -  Funkcionalitāte,Y,,,,,,,,,,
NR41,Durvju spoguļi - elektriski/sildāmi,N,Yes,Yes,Yes,"Electrically adjustable, foldable, heated side mirrors","""Elektriski regulējami, nolokāmi, apsildāmi sānu atpakaļskata spoguļi""","Electrically adjustable, foldable, heated side mirrors",LV,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions electrically adjustable and heated side mirrors.,Combined: I:Yes/C:Yes = Yes (LV)
NR42,Durvju spoguļi - elektriski/sildāmi/salokāmi,N,Yes,Yes,Yes,"Electrically adjustable, foldable, heated side mirrors","""Elektriski regulējami, nolokāmi, apsildāmi sānu atpakaļskata spoguļi""","Electrically adjustable, foldable, heated side mirrors",LV,LV: Latvian term matches the feature description,"Consensus: 3Y/0M/0N - Clearly mentions electrically adjustable, heated, and foldable side mirrors.",Combined: I:Yes/C:Yes = Yes (LV)
NR43,Priekšējie vējstikla tīrītāji - automātiski,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR44,Stikls - tonēts ar privātuma aizsardzību aizmugurē,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR45,Sildāms vējstikls,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR46,Bagāžnieka durvis - elektriskas,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR47,Jumta sliedes,N,No,Yes,Maybe,,"""Jumta reliņi, melni (nav piejami Coupe)""","""Jumta reliņi, melni (nav piejami Coupe)""",,: No equivalent found in either language,Consensus: 3Y/0M/0N - Clearly mentions roof rails.,Combined: I:No/C:Yes = Maybe ()
NR48,Panorāmas jumts,N,Yes,Yes,Yes,Panoramic glass roof with tinted glass (only Coupe),"""Panorāmas stikla jumts ar tonētu stiklu (tikai Coupe)""",Panoramic glass roof with tinted glass (only Coupe),LV,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions a panoramic roof.,Combined: I:Yes/C:Yes = Yes (LV)
NR49,Ārējais Izskats -  Apgaismojums,Y,,,,,,,,,,
NR50,Dienas gaismas - LED,N,Yes,Yes,Yes,LED headlights,"""LED priekšējie un aizmugurējie lukturi""",LED headlights,LV,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions LED front lights.,Combined: I:Yes/C:Yes = Yes (LV)
NR51,Priekšējie miglas lukturi - LED,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR52,Priekšējie miglas lukturi - LED integrēti,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR53,Priekšējo lukturu vadība - automātiska ieslēgšana/izslēgšana,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR54,Priekšējo lukturu vadība - automātiska ieslēgšana/izslēgšana un tālās/tuvās gaismas,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR55,Priekšējie lukturi - LED,N,Yes,Yes,Yes,LED headlights,"""LED priekšējie un aizmugurējie lukturi""",LED headlights,EN,EN: English term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions LED front lights.,Combined: I:Yes/C:Yes = Yes (EN)
NR56,Priekšējie lukturi - adaptīvie LED bez Matrix vai Glare Free,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR57,Priekšējie lukturi - adaptīvie LED ar Matrix vai Glare Free,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR58,Interjers -  Komforts/Ērtības,Y,,,,,,,,,,
