Nr Code,Variable Name,Is TT,Match (Yes/No/Maybe),Matching Text,LLM_Reason
NR23,Piedziņa,Y,,,
NR24,4X4 pilna laika (4WD / AWD),N,No,,No equivalent 4WD/AWD feature found
NR25,Pārnesumkārba,Y,,,
NR26,Automātiskā pārnesumkārba,N,No,,No equivalent automatic transmission feature found
NR27,Hibrīda Tehnoloģija,Y,,,
NR28,mHEV,N,No,,No equivalent mHEV feature found
NR29,FHEV,N,No,,No equivalent FHEV feature found
NR30,PHEV,N,No,,No equivalent PHEV feature found
NR31,Krāsa,Y,,,
NR32,Metāliska krāsa kā standarts,N,No,,No equivalent metallic paint feature found
NR33,Ārējais Izskats -  Funkcionāls,Y,,,
NR34,Durvju spoguļi - Elektriski/sildāmi,N,Yes,Electrically adjustable side mirrors with turn indicator,Electrically adjustable matches
NR35,Durvju spoguļi - elektriski/sildāmi/nolokāmi,N,Yes,Heated and automatically folding side mirrors,Matches all criteria
NR36,Priekšējie vējstikla tīrītāji - automātiski,N,Yes,Automatic windshield wipers and rain sensor,Automatic wipers match
NR37,Stikls - tonēts ar privātuma aizsardzību aizmugurē,N,No,,No equivalent tinted glass feature found
NR38,Sildāms vējstikls,N,No,,No equivalent heated windshield feature found
NR39,Bagāžnieka durvis - elektriski atveramas,N,No,,No equivalent electric trunk feature found
NR40,Jumta sliedes,N,No,,No equivalent roof rails feature found
NR41,Panorāmas jumts,N,No,,No equivalent panoramic roof feature found
NR42,Ārējais Izskats -  Apgaismojums,Y,,,
NR43,Dienas gaitas lukturi - LED,N,Yes,LED daytime running lights,LED daytime running lights match
NR44,Priekšējie miglas lukturi - LED,N,No,,No equivalent front LED fog lights feature found
NR45,Priekšējie miglas lukturi – LED integrēti,N,No,,No equivalent integrated LED fog lights feature found
NR46,Priekšējo lukturu vadība – automātiska ieslēgšana/izslēgšana,N,Yes,Intelligent automatic headlights,Automatic headlight control matches
NR47,Priekšējo lukturu vadība – automātiska ieslēgšana/izslēgšana un tālās/tuvās gaismas,N,No,,No equivalent adaptive headlight feature found
NR48,Priekšējie lukturi – LED,N,Yes,LED headlights,LED headlights match
