Nr Code,Variable Name,Is TT
NR25,V2L funkcija,N
NR26,Siltumsūknis,N
NR27,Piedziņas Sistēma,Y
NR28,4X4 pilna laika (4WD / AWD),N
NR29,Ārējais Izskats -  Izskats/Stils,Y
NR30,Krāsa - Metāliska (standarta),N
NR31,Ārējais Izskats -  Funkcionalitāte,Y
NR32,Durvju spoguļi - Elektriski/sildāmi,N
NR33,Durvju spoguļi - Elektriski/sildāmi/salokāmi,N
NR34,Durvju spoguļi - Elektriski/sildāmi/salokāmi ar atmiņu,N
NR35,Priekšējie vējstikla tīrītāji - Automātiski,N
NR36,Stikls - Tonēts ar privātuma aizsardzību aizmugurē,N
NR37,Apsildāms vējstikls,N
NR38,Bagāžnieka durvis - Elektriskas,N
NR39,Bagāžnieka durvis - Elektriskas ar bezroku vadību,N
NR40,Jumta sliedes,N
NR41,Priekšējais bagāžnieks,N
NR42,Panorāmas jumts,N
NR43,Ārējais Izskats -  Apgaismojums,Y
NR44,Dienas gaitas lukturi - LED,N
NR45,Priekšējie miglas lukturi - LED,N
NR46,Priekšējie miglas lukturi – LED integrēti,N
NR47,Priekšējo lukturu vadība – automātiska,N
NR48,Priekšējo lukturu vadība – automātiska augsta/zema gaisma,N
NR49,Priekšējie lukturi – LED,N
NR50,Priekšējie lukturi – adaptīvie LED bez Matrix vai Glare Free,N
NR51,Priekšējie lukturi – adaptīvie LED ar Matrix vai Glare Free,N
NR52,Interjers – Komforts/Ērtības,Y
NR53,Gaisa kondicionētājs,N
NR54,Gaisa kondicionētājs – EATC 2 zonas,N
NR55,Gaisa kondicionētājs – EATC 3 zonas,N
NR56,Salona gaisa attīrītājs,N
NR57,Apgaismojums – salons ar daudzkrāsu LED,N
NR58,Centrālā konsole ar roku balstu,N
NR59,Automātiski tumšojams salona spogulis,N
NR60,12 V bagāžas nodalījumā,N
NR61,Bezvadu uzlāde,N
NR62,Interjers – In car entertainment/komunikācijas,Y
NR63,"Daudzfunkcionāls skārienjūtīgais ekrāns - 6 - 7,9""",N
NR64,"Daudzfunkcionāls skārienjūtīgais ekrāns - 8 - 9,9""",N
NR65,"Daudzfunkcionāls skārienjūtīgais ekrāns - 10 - 11,9""",N
NR66,"Daudzfunkcionāls skārienjūtīgais ekrāns - 12 - """,N
NR67,Zīmola audio sistēma,N
NR68,Navigācijas centrs,N
NR69,Navigācijas centrs - savienots,N
NR70,Android Auto un Apple CarPlay,N
NR71,Android Auto un Apple CarPlay - bezvadu,N
NR72,Vieds palīgs ar AI,N
NR73,Head - Up displejs,N
NR74,Interjers -  Instrumenti/Vadības Elementi,Y
NR75,Apsildāms stūres rats,N
NR76,Ādas stūres rats,N
NR77,"Digitālais displejs – līdz 8,9""",N
NR78,"Digitālais displejs 9“ - 11,9”",N
NR79,"Digitālais displejs 12+""",N
NR80,Interjers -  Sēdekļi,Y
NR81,Apsildāms vadītāja sēdeklis,N
NR82,Apsildāms pasažiera sēdeklis,N
NR83,Apsildāmi aizmugurējie sēdekļi,N
NR84,Vadītāja sēdekļa jostasvietas regulēšana manuāli,N
NR85,Pasažiera sēdekļa jostasvietas regulēšana manuāli,N
NR86,Vadītāja sēdekļa jostasvietas regulēšana elektriski,N
NR87,Pasažiera sēdekļa jostasvietas regulēšana elektriski,N
NR88,Elektriski regulējams vadītāja sēdeklis,N
NR89,Elektriski regulējams pasažiera sēdeklis,N
NR90,Elektriski regulējams vadītāja sēdeklis ar atmiņu,N
