Nr Code,Variable Name,Is TT
NR23,Piedziņa,Y
NR24,4X4 pilna laika (4WD / AWD),N
NR25,Pārnesumkārba,Y
NR26,Automātiskā pārnesumkārba,N
NR27,Hibrīda Tehnoloģija,Y
NR28,mHEV,N
NR29,FHEV,N
NR30,PHEV,N
NR31,Krāsa,Y
NR32,Metāliska krāsa kā standarts,N
NR33,Ārējais Izskats -  Funkcionāls,Y
NR34,Durvju spoguļi - elektriski/sildāmi,N
NR35,Durvju spoguļi - elektriski/sildāmi/salokāmi,N
NR36,Priekšējie vējstikla tīrītāji - Automātiski,N
NR37,Stikls - Tonēts ar privātuma aizsardzību aizmugurē,N
NR38,Apsildāms vējstikls,N
NR39,Bagāžnieka durvis – Elektriski atveramas,N
NR40,Jumta sliedes,N
NR41,Panorāmas jumts,N
NR42,Ārējais Izskats -  Apgaismojums,Y
NR43,Dienas gaitas lukturi - LED,N
NR44,Priekšējie miglas lukturi,N
NR45,Priekšējie miglas lukturi - LED,N
NR46,Galveno lukturu vadība - Automātiska,N
NR47,Galveno lukturu vadība - Automātisks tālās/tuvās gaismas stars,N
NR48,Galvenie lukturi - LED,N
NR49,Aizmugurējie lukturi - LED,N
NR50,Interjers -  Komforts/Ērtības,Y
NR51,Gaisa kondicionētājs,N
NR52,Gaisa kondicionētājs - EATC 1 zona,N
NR53,Gaisa kondicionētājs - EATC 2 zonas,N
NR54,Gaisa kondicionētājs - EATC 3 zonas,N
NR55,Centrālā konsole ar roku balstu,N
NR56,Automātiski tumšojams salona spogulis,N
NR57,12 V bagāžas nodalījumā,N
NR58,Bezvadu uzlāde,N
NR59,Interjers – In Car Entertainment/Komunikācijas,Y
NR60,"Daudzfunkcionāls skārienjūtīgais ekrāns - 6 - 7,9""",N
NR61,"Daudzfunkcionāls skārienjūtīgais ekrāns - 8 - 9,9""",N
NR62,"Daudzfunkcionāls skārienjūtīgais ekrāns - 10 - 11,9""",N
NR63,"Daudzfunkcionāls skārienjūtīgais ekrāns - 12 - """,N
NR64,Navigācijas centrs,N
NR65,Navigācijas centrs - savienots,N
NR66,Android Auto un Apple CarPlay,N
NR67,Android Auto un Apple CarPlay - bezvadu,N
NR68,USB - C porti,N
NR69,Avārijas zvans,N
NR70,Head - Up displejs,N
NR71,Salons -  Instrumenti/Vadības Elementi,Y
NR72,Apsildāms stūres rats,N
NR73,Ādas (ieskaitot Sensico) stūres rats,N
NR74,Digitālais instrumentu kopums,N
NR75,Salons -  Sēdekļi,Y
NR76,Apsildāms vadītāja sēdeklis,N
NR77,Apsildāms pasažiera sēdeklis,N
NR78,Apsildāmi aizmugurējie sēdekļi,N
NR79,Jostasvietas regulēšana vadītāja sēdeklī,N
NR80,Jostasvietas regulēšana pasažiera sēdeklī,N
NR81,Vadītāja sēdekļa elektriska regulēšana,N
NR82,Pasažiera sēdekļa elektriska regulēšana,N
NR83,Sēdekļu apdare – daļēji āda,N
NR84,Sēdekļu apdare – āda,N
NR85,Interjers – Vadītāja Palīdzības Tehnoloģijas,Y
NR86,Automātiskā parkošanās sistēma,N
NR87,Aklās zonas uzraudzība,N
NR88,Aizsargājošā sistēma ar šķērssatiksmes brīdinājumu,N
NR89,Inteliģentā ātruma palīdzība,N
NR90,Ātruma zīmju atpazīšana (SSR),N
NR91,Kruīza kontrole,N
NR92,Kruīza kontrole - adaptīvā,N
NR93,Vadītāja braukšanas uzraudzība,N
NR94,Joslas ievērošanas palīdzība,N
NR95,Aizmugures šķērssatiksmes brīdinājums,N
NR96,Kamera - priekšējais 360° skats,N
NR97,Kamera - aizmugurējais 180° skats,N
NR98,Parkošanās palīgsistēma - priekšējie sensori,N
NR99,Parkošanās palīgsistēma – aizmugurējie sensori,N
NR100,Mehānika – Šasija,Y
NR101,AEBS ar gājēju un velosipēdistu atpazīšanu,N
NR102,AEBS ar gājēju atpazīšanu,N
NR103,Autonomā avārijas bremzēšanas sistēma (AEBS),N
NR104,Sadursmes mīkstināšana – 2. sadursme,N
NR105,Stāvbremze – elektriska,N
NR106,Mehāniskais – Rati/Riepas,Y
NR107,"16"" tērauda riteņi",N
NR108,"16"" vieglmetāla riteņi",N
NR109,"17"" tērauda riteņi",N
NR110,"17"" vieglmetāla riteņi",N
NR111,"18"" vieglmetāla riteņi",N
NR112,"19"" vieglmetāla riteņi",N
NR113,Rezerves ritenis,N
NR114,Riteņu pārsegi,N
NR115,Drošība Un Aizsardzība,Y
NR116,Gaisa spilveni - ceļgaliem vai centrā,N
NR117,Gaisa spilveni - aizkari,N
NR118,Gaisa spilveni - sānos,N
NR119,Signalizācija - perimetrs,N
NR120,Bezatslēgas iedarbināšana,N
NR121,Bezatslēgas piekļuve,N
NR122,Garantija,Y
NR123,Pagarināta garantija – 2 gadi,N
NR124,Pagarināta garantija – 3 gadi,N
NR125,Pagarināta garantija – 4 gadi,N
NR126,Pagarināta garantija – 5 gadi,N
NR127,Pagarināta garantija – 6 gadi,N
NR128,Pagarināta garantija – 7 gadi,N
NR129,Pagarināta garantija – 10 gadi,N
